role_id,actor_id,movie_id
role_5f270295,nm7309485,tt7985692
role_29b5fa4c,nm7867623,tt7985692
role_d488ddda,nm0000331,tt0083254
role_0edd8273,nm0000402,tt0083254
role_b8f80394,nm0000781,tt0083254
role_524468d8,nm0536850,tt0083254
role_4e6f797f,nm0232817,tt0083254
role_55bb2c8c,nm0000863,tt0083254
role_b963f983,nm0538683,tt0083254
role_ed469b0d,nm0399155,tt0083254
role_e7b5cba5,nm0566588,tt0083254
role_bf0edbaf,nm0035060,tt0083254
role_8d326537,nm0002332,tt0090693
role_d1e4f32c,nm0138482,tt0090693
role_27fb79c6,nm0000452,tt0090693
role_bcb3508d,nm0593463,tt0090693
role_db3584c5,nm0703811,tt0090693
role_163d641b,nm0502442,tt0090693
role_2602a49f,nm0788251,tt0090693
role_2daf7998,nm0831814,tt0090693
role_67cc4a13,nm0129538,tt0090693
role_4e93ca73,nm0000401,tt0090693
role_9d39582d,nm0432040,tt0372824
role_1cfe985c,nm0075710,tt0372824
role_77524908,nm0580101,tt0372824
role_4d6e6a1d,nm0094786,tt0372824
role_6db7f6e5,nm0120431,tt0372824
role_359b8bb3,nm1533863,tt0372824
role_5d03a4eb,nm1532669,tt0372824
role_bcf109c3,nm1531691,tt0372824
role_db091ed6,nm1533569,tt0372824
role_1e8b9270,nm1531112,tt0372824
role_c453d974,nm0293508,tt3009772
role_a26f256d,nm1072555,tt3009772
role_ed12591f,nm3821405,tt3009772
role_a37e4055,nm1851981,tt3009772
role_9113bae6,nm0940990,tt3009772
role_41a0ba5f,nm1887429,tt3009772
role_99f38ecc,nm0788453,tt3009772
role_67f418c9,nm14836720,tt3009772
role_da5a77dc,nm0004852,tt3009772
role_e8d2d168,nm0480775,tt3009772
role_74beafa4,nm1475594,tt0989757
role_5fdb5e20,nm1086543,tt0989757
role_d8abbb5e,nm0003496,tt0989757
role_7c748130,nm0001794,tt0989757
role_314180be,nm1366616,tt0989757
role_52dfaf87,nm1150144,tt0989757
role_ebbd40b8,nm3185212,tt0989757
role_38ec4d9a,nm3398026,tt0989757
role_385c2e11,nm0732803,tt0989757
role_111a0fe0,nm0692288,tt0989757
role_a422f8b6,nm0000173,tt0276919
role_41221beb,nm0027683,tt0276919
role_b9612b60,nm0000002,tt0276919
role_0805d2dd,nm0000852,tt0276919
role_f021eb47,nm0079273,tt0276919
role_60ba7acb,nm0001974,tt0276919
role_6c8ee655,nm0001001,tt0276919
role_85ff6484,nm0165101,tt0276919
role_9464cc4c,nm0001111,tt0276919
role_40ea68ad,nm0001262,tt0276919
role_564114de,nm2040230,tt6802308
role_53b3d37f,nm7556035,tt6802308
role_e98ca075,nm10452536,tt6802308
role_88008327,nm10270623,tt6802308
role_3b7fa4d0,nm0339460,tt6802308
role_afc8d5e4,nm0278979,tt6802308
role_9dc064fe,nm0924884,tt6802308
role_11b3666d,nm0421264,tt6802308
role_fbf0c20d,nm7291339,tt6802308
role_5be74fcb,nm8227651,tt6802308
role_022f3d75,nm0746583,tt0090357
role_a4bb2dd9,nm0184893,tt0090357
role_7cca5482,nm0001830,tt0090357
role_a827ad94,nm0001891,tt0090357
role_c698e1bb,nm0281453,tt0090357
role_186db4b9,nm0428086,tt0090357
role_ea287629,nm0830740,tt0090357
role_dd4fb04a,nm0004355,tt0090357
role_763ad5ae,nm0722419,tt0090357
role_cc64744e,nm0653580,tt0090357
role_8d603e6e,nm0001574,tt0084714
role_5873c069,nm0000261,tt0084714
role_57688834,nm0001228,tt0084714
role_f65644c7,nm0000249,tt0084714
role_1d5fcba6,nm0039051,tt0084714
role_c21bdaad,nm0001133,tt0084714
role_a86c1912,nm0780121,tt0084714
role_64d341cb,nm0525041,tt0084714
role_2cc593a6,nm0241143,tt0084714
role_fef2e642,nm0000221,tt0107144
role_5f5edc65,nm0000978,tt0107144
role_70e7282d,nm0000420,tt0107144
role_79a7a875,nm0001077,tt0107144
role_9540f06a,nm0000283,tt0107144
role_4d4bc194,nm0001208,tt0107144
role_a311213d,nm0000100,tt0107144
role_a2efff3c,nm0355062,tt0107144
role_3d5dcd11,nm0906251,tt0107144
role_31c9c06b,nm0752751,tt0107144
role_ad20ca9a,nm2154960,tt6791096
role_286fe30b,nm0931329,tt6791096
role_eb01d929,nm2584392,tt6791096
role_178033e5,nm2665168,tt6791096
role_511bda97,nm0553440,tt6791096
role_f7ae5b89,nm1589279,tt6791096
role_479a1b2c,nm5262775,tt6791096
role_4f1588d2,nm0005311,tt6791096
role_9276d449,nm0001381,tt6791096
role_a6ec6a52,nm3550886,tt6791096
role_5670f7a5,nm0258931,tt0080455
role_0c8ea8ee,nm0909212,tt0080455
role_adeb9f10,nm0000004,tt0080455
role_a2073a36,nm0505979,tt0080455
role_f0f78fa0,nm0000568,tt0080455
role_ee02a599,nm0000101,tt0080455
role_7356320e,nm0293466,tt0080455
role_5114ee4c,nm0130572,tt0080455
role_7409db76,nm0040551,tt0080455
role_45d59811,nm0113768,tt0080455
role_f8496f0e,nm0004647,tt0064787
role_6ee0a1fa,nm0814799,tt0064787
role_0dfad29b,nm0246293,tt0064787
role_9995e2cb,nm0197623,tt0064787
role_7ed7ceb1,nm0168822,tt0064787
role_2eaffbc3,nm0698330,tt0064787
role_f3c84913,nm0357166,tt0064787
role_cf83a0d1,nm0246502,tt0064787
role_fdedd611,nm0822268,tt0064787
role_fee338d6,nm0746295,tt0064787
role_dfa27052,nm0001637,tt0112389
role_67baa507,nm0656116,tt0112389
role_b247eb17,nm0515138,tt0112389
role_cfabc657,nm0140805,tt0112389
role_832d3d9d,nm0720890,tt0112389
role_52f697c4,nm0551065,tt0112389
role_ee2e8a0c,nm0000560,tt0118564
role_2277d270,nm0862923,tt0118564
role_6e511d40,nm0651660,tt0118564
role_e8605acb,nm0874082,tt0118564
role_9a36e9bd,nm0692874,tt0118564
role_eae2d07e,nm0382216,tt0118564
role_2ffde1cf,nm0783033,tt0118564
role_7b08ee43,nm0857574,tt0118564
role_21efd8c8,nm0002148,tt0118564
role_6e17410d,nm0829717,tt0118564
role_b0a705ae,nm0000158,tt0098536
role_4fa2557f,nm0001858,tt0098536
role_83d29fdd,nm0005266,tt0098536
role_ede4c58a,nm0001817,tt0098536
role_7e57e15b,nm0667182,tt0098536
role_cbb85c2f,nm0703862,tt0098536
role_ce3d061d,nm0570615,tt0098536
role_5104b2ab,nm0460671,tt0098536
role_a0475f5c,nm0808076,tt0098536
role_aaeeb52d,nm0769000,tt0098536
role_80bdcd3b,nm0000578,tt0097263
role_debeb7bc,nm0053392,tt0097263
role_461fcf09,nm0861639,tt0097263
role_10e506c8,nm0517084,tt0097263
role_7a9041bf,nm0170450,tt0097263
role_3bf634dc,nm0422457,tt0097263
role_4db1ff5e,nm0577657,tt0097263
role_2ca59b69,nm0205040,tt0097263
role_9966aa25,nm0171168,tt0097263
role_383ca3d6,nm0000892,tt0095652
role_e2f45dc0,nm0659601,tt0095652
role_386c33a2,nm0573896,tt0095652
role_0d8a0616,nm0887696,tt0095652
role_400e82da,nm0286611,tt0095652
role_5211e780,nm0740535,tt0095652
role_ebc2d850,nm0001804,tt0095652
role_b73f6eac,nm10135555,tt0095652
role_a23f3f9e,nm0005508,tt0095652
role_e6e5d176,nm0628309,tt0095652
role_c42c97d3,nm0000147,tt0098575
role_6e7f4957,nm0000906,tt0098575
role_800fb19b,nm0000672,tt0098575
role_8ec42b5c,nm0000103,tt0098575
role_f2244cd4,nm0680795,tt0098575
role_8404b560,nm0000470,tt0098575
role_d8baace7,nm0001794,tt0098575
role_837a145e,nm0236902,tt0098575
role_0557666e,nm0571435,tt0098575
role_e4cd8884,nm0086262,tt0098575
role_7b4d232a,nm0005392,tt2387433
role_b32b9b67,nm0357979,tt2387433
role_8bf377b5,nm2023672,tt2387433
role_3416075b,nm4595603,tt2387433
role_e23901c3,nm0799777,tt2387433
role_226c3000,nm75375456,tt2387433
role_26744326,nm0404475,tt2387433
role_fcea2952,nm0188041,tt2387433
role_58692d66,nm4114443,tt2387433
role_279e067e,nm10752025,tt2387433
role_6cbe7e24,nm0568169,tt0087746
role_2e58f788,nm0908594,tt0087746
role_4180bde9,nm0000200,tt0087746
role_67f7f08d,nm0313519,tt0087746
role_29e3d4e1,nm0313387,tt0087746
role_9e8b25af,nm0043771,tt0087746
role_25e90c3c,nm0174681,tt0087746
role_9cede3ad,nm0308108,tt0087746
role_b3cd8fca,nm0443314,tt0087746
role_99b28869,nm0541636,tt0087746
role_1ed64d06,nm0000492,tt0095286
role_85b5b123,nm0882853,tt0095286
role_87b4f988,nm0356478,tt0095286
role_b3264c67,nm0522392,tt0095286
role_1cc557c7,nm0714310,tt0095286
role_c523a3e2,nm0920446,tt0095286
role_352c1ed6,nm0769508,tt0095286
role_b4afdc70,nm1262203,tt0095286
role_82be3978,nm0000114,tt0095286
role_daeb0a02,nm0821734,tt0095286
role_af6454de,nm4360085,tt0460890
role_e3d9c81a,nm0000313,tt0460890
role_cd40d860,nm0000295,tt0460890
role_66effbdc,nm0000112,tt0460890
role_07d30b5a,nm0633223,tt0460890
role_69efb18d,nm4169922,tt0460890
role_9068094a,nm0004883,tt0460890
role_3638a5b6,nm0001728,tt0460890
role_2c6e5992,nm0243117,tt0460890
role_dfbd582e,nm0000529,tt0460890
role_18f00124,nm0000368,tt0102753
role_2790507f,nm0000380,tt0102753
role_ba767507,nm0002663,tt0102753
role_b98e0b92,nm0001305,tt0102753
role_810a5f7c,nm0001334,tt0102753
role_2d2cd43c,nm0176723,tt0102753
role_2b082609,nm0121559,tt0102753
role_df40cba7,nm0004356,tt0102753
role_cecc9ad7,nm0516970,tt0102753
role_49d6316e,nm0840175,tt0102753
role_a5a7b2d4,nm0004874,tt1905041
role_6350e072,nm0908094,tt1905041
role_ddf4e67e,nm0425005,tt1905041
role_c4166bc1,nm0108287,tt1905041
role_11b87d51,nm0735442,tt1905041
role_3de7439b,nm0879085,tt1905041
role_d2b2fc86,nm0437646,tt1905041
role_7e4726f1,nm2933757,tt1905041
role_e5b38f53,nm0524839,tt1905041
role_f98e98ed,nm11437243,tt1905041
role_c21ad3bf,nm0000867,tt0889573
role_7074c577,nm1043006,tt0889573
role_7d80ed6c,nm0000098,tt0889573
role_1d3712f0,nm0000156,tt0889573
role_5a2c6dca,nm0000496,tt0889573
role_e88f3549,nm0521974,tt0889573
role_1be6bd85,nm2040932,tt0889573
role_da397ed2,nm0933940,tt0889573
role_655ed9a6,nm3135063,tt0889573
role_2d8972de,nm1799058,tt0889573
role_e0267e61,nm0189504,tt0258038
role_3debae2e,nm1356578,tt0258038
role_9c17c0e5,nm0177639,tt0258038
role_1243aca5,nm0146146,tt0258038
role_544be314,nm0001816,tt0258038
role_e5e84c33,nm0843100,tt0258038
role_98138978,nm0001674,tt0258038
role_7aeb00ec,nm0431660,tt0258038
role_ae89e165,nm0000128,tt0311113
role_711e375e,nm0079273,tt0311113
role_ee131fa6,nm0195439,tt0311113
role_48344212,nm0940105,tt0311113
role_ce1dbd91,nm0488271,tt0311113
role_dacdc045,nm1263986,tt0311113
role_8b7517ad,nm0709526,tt0311113
role_b898959a,nm1263131,tt0311113
role_aa489118,nm0408846,tt0311113
role_dd9f83a8,nm11695874,tt0311113
role_ec2eb587,nm2623902,tt6905696
role_66363bd9,nm2633535,tt6905696
role_b332fca0,nm3284401,tt6905696
role_d84b2c63,nm6806440,tt6905696
role_a69be283,nm5795508,tt6905696
role_266938f7,nm8525655,tt6905696
role_6b9be0e5,nm5598573,tt6905696
role_560943a0,nm0670408,tt6905696
role_801b3364,nm2367998,tt6905696
role_dba11175,nm0262621,tt6905696
role_5e7d7282,nm0000154,tt0104291
role_d15764b5,nm0000130,tt0104291
role_54675480,nm0000704,tt0104291
role_e61fd722,nm0322050,tt0104291
role_3203baf2,nm0001841,tt0104291
role_d8749e8c,nm0608012,tt0104291
role_2f250a50,nm0839708,tt0104291
role_6aad418b,nm0335344,tt0104291
role_f94adcce,nm0331117,tt0104291
role_2638d5ba,nm0805594,tt0104291
role_c9dbd890,nm0564215,tt0968264
role_1edb16e3,nm0000705,tt0968264
role_b363ef33,nm0000177,tt0968264
role_e97d9f30,nm0939697,tt0968264
role_97ce27c0,nm0929489,tt0968264
role_6437efe9,nm0519043,tt0968264
role_ca0bac77,nm0396812,tt0968264
role_865f91d9,nm0197647,tt0968264
role_0244c555,nm0000538,tt0968264
role_c58cb43e,nm0088127,tt0968264
role_2ee59f25,nm3201626,tt1645769
role_f13c1690,nm0153942,tt1645769
role_319724e1,nm0169753,tt1645769
role_c57e6275,nm2131379,tt1645769
role_e3c52b3a,nm1675596,tt1645769
role_9c1d4f41,nm3220899,tt1645769
role_a4f91326,nm0834127,tt1645769
role_87511ff6,nm0785723,tt1645769
role_a6ad0b48,nm0528982,tt1645769
role_a191710a,nm0739548,tt1645769
role_5d511bac,nm0001513,tt0079080
role_55114f14,nm0086806,tt0079080
role_36ea4609,nm0912001,tt0079080
role_358d72b2,nm0795711,tt0079080
role_4520638e,nm0835651,tt0079080
role_629d439d,nm0124184,tt0079080
role_3057f231,nm0806500,tt0079080
role_5768c9af,nm0164273,tt0079080
role_a18c14cc,nm0186833,tt0079080
role_34e133d5,nm0770919,tt0079080
role_ba4f4fc0,nm0532193,tt1509767
role_3c62ed4f,nm0000170,tt1509767
role_8c7c0665,nm11365041,tt1509767
role_9be7af71,nm0646792,tt1509767
role_06dc71e2,nm11437243,tt1509767
role_bacb2d0e,nm0829032,tt1509767
role_0371b941,nm0001709,tt1509767
role_846d9f9f,nm1994766,tt1509767
role_62c5295a,nm0089217,tt1509767
role_c1e89490,nm0503567,tt1509767
role_7b9ef207,nm0000206,tt0101452
role_ff4ddf09,nm0935664,tt0101452
role_da928d6c,nm0006669,tt0101452
role_07b3cc5f,nm0000722,tt0101452
role_82bb9a19,nm0000427,tt0101452
role_1dc667df,nm0137506,tt0101452
role_77469e73,nm0830757,tt0101452
role_f46720d2,nm0552513,tt0101452
role_a0b11290,nm0484900,tt0101452
role_360036a7,nm0000476,tt0102138
role_bc8be315,nm0708260,tt0102138
role_801c0b4e,nm0846507,tt0102138
role_39dead58,nm0503266,tt0102138
role_7217a15a,nm0715698,tt0102138
role_b89bfb35,nm0267141,tt0102138
role_353989c0,nm0239505,tt0102138
role_06df35c6,nm0575181,tt0102138
role_b0db6f9f,nm0000126,tt0102138
role_29b3bfd9,nm0761587,tt0102138
role_b5420da2,nm0000105,tt0080749
role_6dcc9d57,nm0000130,tt0080749
role_e7b6e281,nm0001463,tt0080749
role_1f54fdf1,nm0002144,tt0080749
role_c7e6c939,nm0040662,tt0080749
role_aa758305,nm0134110,tt0080749
role_63333d89,nm0194234,tt0080749
role_36fbdf4c,nm0477341,tt0080749
role_bd362387,nm0593792,tt0080749
role_e30bb829,nm0001358,tt0080749
role_47f81665,nm0000678,tt0103184
role_2627c12c,nm0761587,tt0103184
role_345f2cf0,nm0001164,tt0103184
role_d30c72aa,nm0324462,tt0103184
role_25786a2b,nm0666933,tt0103184
role_023e1517,nm0168918,tt0103184
role_8d706f6c,nm0565470,tt0103184
role_0456d160,nm0575081,tt0103184
role_c47539f1,nm0001431,tt0103184
role_2576a3d7,nm0323998,tt0103184
role_e3339e65,nm0000331,tt0109480
role_2a147321,nm0001588,tt0109480
role_1bd22d66,nm0001848,tt0109480
role_670d2b04,nm0001108,tt0109480
role_e9b9656a,nm0336558,tt0109480
role_5a610b5b,nm0725284,tt0109480
role_7fd21196,nm0557739,tt0109480
role_f773f57e,nm0400816,tt0109480
role_2f24e7d2,nm0739087,tt0109480
role_718b99d4,nm0484764,tt0109480
role_a52cd88e,nm0000177,tt0090022
role_479a071a,nm0001277,tt0090022
role_5556fcde,nm0000126,tt0090022
role_d24410da,nm0000418,tt0090022
role_51612fdb,nm0570793,tt0090022
role_175ed921,nm0500894,tt0090022
role_f4092353,nm0941125,tt0090022
role_da4fa34b,nm0440459,tt0090022
role_17f12d5d,nm0000092,tt0090022
role_e990c095,nm0021112,tt0090022
role_0f9f636a,nm0000245,tt0120716
role_e7132d8c,nm0853364,tt0120716
role_eb76b643,nm0407285,tt0120716
role_84b05a2d,nm0050268,tt0120716
role_9d812b67,nm0230649,tt0120716
role_331d7849,nm0309670,tt0120716
role_a00d162b,nm0000837,tt0120716
role_d52a7991,nm0000273,tt0120716
role_4125162c,nm0005052,tt0120716
role_34519817,nm0546797,tt0120716
role_bddb9b44,nm0731074,tt0479500
role_eab01087,nm1069180,tt0479500
role_9742d7a8,nm0178324,tt0479500
role_f386e993,nm1302735,tt0479500
role_f93fa38a,nm1426904,tt0479500
role_01ae5efc,nm0659048,tt0479500
role_39080bd9,nm0069856,tt0479500
role_d396b8ce,nm0004883,tt0479500
role_1f6efaa0,nm0234606,tt0479500
role_7fd4b2ef,nm0005009,tt0479500
role_ff9195f1,nm0000244,tt0095243
role_bce82bda,nm0000986,tt0095243
role_11ea94d0,nm0364915,tt0095243
role_f50e2ffa,nm0590731,tt0095243
role_4f39e9de,nm0193868,tt0095243
role_fc8f3c6a,nm15843128,tt0095243
role_b9c41515,nm0905138,tt0095243
role_3f08e7cb,nm0322513,tt0095243
role_ec8a11f8,nm0487050,tt0095243
role_a15b10f1,nm0642239,tt0095243
role_6c79e891,nm0000553,tt0099365
role_a2e3cb85,nm0000531,tt0099365
role_dcfa3aba,nm0295506,tt0099365
role_3c361223,nm0236952,tt0099365
role_b992b9bc,nm0556335,tt0099365
role_73ece2ee,nm0272480,tt0099365
role_9617cd23,nm0733292,tt0099365
role_d3adba92,nm0382830,tt0099365
role_97980361,nm0001646,tt0099365
role_e462f74a,nm0001794,tt0087065
role_0918a82b,nm0001056,tt0087065
role_d0a68dba,nm0614526,tt0087065
role_7a1e05fb,nm0631506,tt0087065
role_85c9fcc5,nm0570615,tt0087065
role_f5d65fd4,nm0634282,tt0087065
role_3cb93c94,nm0142746,tt0087065
role_2f97aebb,nm0744523,tt0087065
role_aeb9ec44,nm0001235,tt0087065
role_c2fc205b,nm0050975,tt0103873
role_a4c2fe20,nm0679272,tt0103873
role_7fd9967f,nm0600473,tt0103873
role_29bd9b71,nm0914240,tt0103873
role_02bd7335,nm0447572,tt0103873
role_c87e015d,nm0222313,tt0103873
role_1d07bc82,nm0112400,tt0103873
role_22805b86,nm0109416,tt0103873
role_9fb7a686,nm0660657,tt0103873
role_01a01505,nm0443885,tt0103873
role_7e178458,nm0005268,tt0080888
role_28b03646,nm0001007,tt0080888
role_ae0dd3d9,nm0001388,tt0080888
role_80ef2548,nm0001620,tt0080888
role_14b2ba55,nm0283269,tt0080888
role_0bc47f3d,nm0505570,tt0080888
role_66a3fa8d,nm0688467,tt0080888
role_2ce7f55b,nm0740296,tt0080888
role_8bd54911,nm0785277,tt0080888
role_cf0e7539,nm0809031,tt0080888
role_db673fde,nm0000245,tt0084917
role_fd2ce649,nm0002148,tt0084917
role_cb62ae37,nm0000335,tt0084917
role_af6705ee,nm0001475,tt0084917
role_71a9a177,nm0002025,tt0084917
role_e0b2cdc2,nm0001788,tt0084917
role_e6479455,nm0001436,tt0084917
role_b3d3b34c,nm0564648,tt0084917
role_5ca0f630,nm0324533,tt0084917
role_48745fec,nm0248923,tt0084917
role_f4df97e4,nm0001131,tt0092718
role_7d1f5b0e,nm0000584,tt0092718
role_5fb5850b,nm0301381,tt0092718
role_d5c9c8dc,nm0143836,tt0092718
role_8634a097,nm0001293,tt0092718
role_34cf55cd,nm0268331,tt0092718
role_a6685c99,nm0218674,tt0092718
role_57c8d269,nm0240797,tt0092718
role_dee8d638,nm0607474,tt0092718
role_37771fdb,nm0222233,tt0092718
role_8c16aeeb,nm6170168,tt6303866
role_4a4ff69a,nm7187575,tt6303866
role_b9769ffc,nm0388082,tt6303866
role_e5751325,nm0400223,tt6303866
role_26049c29,nm8732839,tt6303866
role_cd85d4a0,nm8732838,tt6303866
role_b3def77c,nm1863115,tt6303866
role_8957a227,nm8732837,tt6303866
role_51d42f07,nm8215630,tt6303866
